id,raw_skill_text,normalized_text,occurrence_count,status,source_type,source_model,source_object_id,example_job,rough_bucket,proposed_decision,proposed_target_canonical_skill,proposed_target_category,confidence,approved_for_phase_15d,decision_reason
565,SIEM,siem,10,pending,job,,889,Expert Cybersécurité - Marseille (H/F) | EPSYL | active,review_high_value,already_resolved,SIEM,security,high,yes,"Now maps to existing Skill/SkillAlias after Phase 15B; mark candidate resolved, do not add duplicate."
606,TCP/IP,tcp ip,10,pending,job,,1056,Ingénieur en Cybersécurité - Systèmes Embarqués (H/F) | NBTECH TOULOUSE | active,review_frequency,already_resolved,TCP/IP,security,high,yes,"Now maps to existing Skill/SkillAlias after Phase 15B; mark candidate resolved, do not add duplicate."
752,API,api,9,pending,job,,1099,Développeur / Développeuse informatique PHP (H/F) | P2B SOLUTIONS | active,review_high_value,already_resolved,API,backend,high,yes,"Now maps to existing Skill/SkillAlias after Phase 15B; mark candidate resolved, do not add duplicate."
174,Argo CD,argo cd,9,pending,job,,41,Ingénieur DevOps (H/F) | AKTISEA | active,review_frequency,already_resolved,Argo CD,devops,high,yes,"Now maps to existing Skill/SkillAlias after Phase 15B; mark candidate resolved, do not add duplicate."
239,Automated Testing,automated testing,9,pending,job,,95,Développeur web full stack (H/F) | GERESO | active,review_frequency,already_resolved,Automated Testing,testing,high,yes,"Now maps to existing Skill/SkillAlias after Phase 15B; mark candidate resolved, do not add duplicate."
626,Automation,automation,9,pending,job,,1066,Developpeur informatique spécialisé en finance (H/F) | LUNALOGIC | active,review_frequency,already_resolved,Automation,tools,high,yes,"Now maps to existing Skill/SkillAlias after Phase 15B; mark candidate resolved, do not add duplicate."
145,Azure DevOps,azure devops,9,pending,job,,35,Ingénieur DevOps (H/F) | EOS IMAGING | active,review_high_value,already_resolved,Azure DevOps,devops,high,yes,"Now maps to existing Skill/SkillAlias after Phase 15B; mark candidate resolved, do not add duplicate."
266,Buildroot,buildroot,9,pending,job,,100,Ingénieur Développement Logiciel Embarqué Temps Réel (H/F) | CARE TECHNOLOGY CONSULTING | active,review_frequency,already_resolved,Buildroot,other,high,yes,"Now maps to existing Skill/SkillAlias after Phase 15B; mark candidate resolved, do not add duplicate."
586,Cloud Security,cloud security,9,pending,job,,894,Ingénieur Cybersécurité H/F (H/F) | INFORMATIS TECHNOLOGY SYSTM | active,review_high_value,already_resolved,Cloud Security,security,high,yes,"Now maps to existing Skill/SkillAlias after Phase 15B; mark candidate resolved, do not add duplicate."
834,Data Warehouse,data warehouse,9,pending,job,,1120,Responsable Data Engineer (H/F) | AK RECRUTEMENT | active,review_high_value,already_resolved,Data Warehouse,data_ai,high,yes,"Now maps to existing Skill/SkillAlias after Phase 15B; mark candidate resolved, do not add duplicate."
354,Embedded Systems,embedded systems,9,pending,job,,149,Ingénieur Logiciel Embarqué Linux (H/F) | ALTEN SYSTEMES D'INFORMATION ET RESEAUX | active,review_frequency,already_resolved,Embedded Systems,other,high,yes,"Now maps to existing Skill/SkillAlias after Phase 15B; mark candidate resolved, do not add duplicate."
726,Firewall,firewall,9,pending,job,,1087,Technicien.ne informatique F/H en alternance (H/F) | DOMIDEP | active,review_high_value,already_resolved,Firewall,security,high,yes,"Now maps to existing Skill/SkillAlias after Phase 15B; mark candidate resolved, do not add duplicate."
681,IT Asset Management,it asset management,9,pending,job,,1078,Apprenti (e) en gestion informatique d'établissement | LEGTPA RETHEL | active,review_frequency,already_resolved,IT Asset Management,tools,high,yes,"Now maps to existing Skill/SkillAlias after Phase 15B; mark candidate resolved, do not add duplicate."
243,Microsoft 365,microsoft 365,9,pending,job,,95,Développeur web full stack (H/F) | GERESO | active,review_frequency,already_resolved,Microsoft 365,tools,high,yes,"Now maps to existing Skill/SkillAlias after Phase 15B; mark candidate resolved, do not add duplicate."
364,Programmation Orientée Objet,programmation orientee objet,9,pending,job,,151,Ingénieur Développement Logiciel C++/QT (H/F) | LES INTERIMAIRES PROFESSIONNELS TERTIAIR | active,review_frequency,already_resolved,Object-Oriented Programming,programming_language,high,yes,"Now maps to existing Skill/SkillAlias after Phase 15B; mark candidate resolved, do not add duplicate."
739,Risk Analysis,risk analysis,9,pending,job,,1095,Consultant Cybersécurité (H/F) | EXODATA | active,review_frequency,already_resolved,Risk Analysis,security,high,yes,"Now maps to existing Skill/SkillAlias after Phase 15B; mark candidate resolved, do not add duplicate."
439,Root Cause Analysis,root cause analysis,9,pending,job,,342,(ALTERNANCE) - Data Engineer (H/F) | AUTOMOTIVE CELLS COMPANY SE | active,review_frequency,already_resolved,Root Cause Analysis,methodology,high,yes,"Now maps to existing Skill/SkillAlias after Phase 15B; mark candidate resolved, do not add duplicate."
557,Security,security,9,pending,job,,798,Ingénieur DevOps GCP (H/F) | ALTEN SYSTEMES D'INFORMATION ET RESEAUX | active,review_high_value,already_resolved,Cybersecurity,security,high,yes,"Now maps to existing Skill/SkillAlias after Phase 15B; mark candidate resolved, do not add duplicate."
871,Technical Watch,technical watch,9,pending,job,,39,Tech Lead / DevOps (H/F) | LINK CONSULTING | active,review_frequency,already_resolved,Technical Watch,methodology,high,yes,"Now maps to existing Skill/SkillAlias after Phase 15B; mark candidate resolved, do not add duplicate."
426,Tests unitaires,tests unitaires,9,pending,job,,197,Ingénieur Fullstack Java/Angular (H/F) | INOV TEAM LABS | active,review_frequency,already_resolved,Software Testing,testing,high,yes,"Now maps to existing Skill/SkillAlias after Phase 15B; mark candidate resolved, do not add duplicate."
671,Troubleshooting,troubleshooting,9,pending,job,,1077,Alternant(e) informatique (H/F) | TEAM EMPLOI | active,review_frequency,already_resolved,Troubleshooting,tools,high,yes,"Now maps to existing Skill/SkillAlias after Phase 15B; mark candidate resolved, do not add duplicate."
429,VmWare,vmware,9,pending,job,,325,Ingénieur / Ingénieure DevOps           (H/F) | KODEMADE | active,review_frequency,already_resolved,VMware,devops,high,yes,"Now maps to existing Skill/SkillAlias after Phase 15B; mark candidate resolved, do not add duplicate."
130,dbt,dbt,9,pending,job,,31,Data Engineer Python Spark + ETL/ELT (H/F) | HOLENEK INGENIERIE | active,review_frequency,already_resolved,dbt,data_ai,high,yes,"Now maps to existing Skill/SkillAlias after Phase 15B; mark candidate resolved, do not add duplicate."
195,Conception d'architecture système,conception d architecture systeme,8,pending,job,,45,Expert/Experte cybersécurité des projets (H/F) |  | active,review_frequency,already_resolved,Software Architecture,backend,high,yes,"Now maps to existing Skill/SkillAlias after Phase 15B; mark candidate resolved, do not add duplicate."
215,ISO 27001,iso 27001,8,pending,job,,47,Analyste GRC et formations cybersécurité (H/F) |  | active,review_high_value,already_resolved,ISO 27001,security,high,yes,"Now maps to existing Skill/SkillAlias after Phase 15B; mark candidate resolved, do not add duplicate."
869,android,android,8,pending,job,,147,Ingénieur(e) Analyse & Débogage Logiciel - Automobile H/F (H/F) | ACCA | active,review_frequency,already_resolved,Android Development,mobile,high,yes,"Now maps to existing Skill/SkillAlias after Phase 15B; mark candidate resolved, do not add duplicate."
514,Azure Data Factory,azure data factory,7,pending,job,,676,Data Engineer IA Copilot Studio & Automatisation IA (H/F) | BASSETTI GROUP | active,review_high_value,already_resolved,Azure Data Factory,data_ai,high,yes,"Now maps to existing Skill/SkillAlias after Phase 15B; mark candidate resolved, do not add duplicate."
394,I2C,i2c,7,pending,job,,153,Ingénieur Développement Logiciel Embarqué Senior (H/F) | TORING | active,review_frequency,already_resolved,I2C,other,high,yes,"Now maps to existing Skill/SkillAlias after Phase 15B; mark candidate resolved, do not add duplicate."
564,IAM,iam,7,pending,job,,889,Expert Cybersécurité - Marseille (H/F) | EPSYL | active,review_frequency,already_resolved,IAM,security,high,yes,"Now maps to existing Skill/SkillAlias after Phase 15B; mark candidate resolved, do not add duplicate."
292,Prompt Engineering,prompt engineering,7,pending,job,,103,Alternance : Ingénieur(e) Logiciel Augmenté par l'IA H/F | SAP FRANCE | active,review_frequency,already_resolved,Prompt Engineering,data_ai,high,yes,"Now maps to existing Skill/SkillAlias after Phase 15B; mark candidate resolved, do not add duplicate."
246,RAG (Retrieval Augmented Generation),rag retrieval augmented generation,7,pending,job,,95,Développeur web full stack (H/F) | GERESO | active,review_frequency,already_resolved,RAG,data_ai,high,yes,"Now maps to existing Skill/SkillAlias after Phase 15B; mark candidate resolved, do not add duplicate."
563,Réseau,reseau,7,pending,job,,889,Expert Cybersécurité - Marseille (H/F) | EPSYL | active,review_high_value,already_resolved,Network Security,security,high,yes,"Now maps to existing Skill/SkillAlias after Phase 15B; mark candidate resolved, do not add duplicate."
393,SPI,spi,7,pending,job,,153,Ingénieur Développement Logiciel Embarqué Senior (H/F) | TORING | active,review_frequency,already_resolved,SPI,other,high,yes,"Now maps to existing Skill/SkillAlias after Phase 15B; mark candidate resolved, do not add duplicate."
312,Software Quality,software quality,7,pending,job,,122,Développeur Full Stack F/H (H/F) | INFORMATIS TECHNOLOGY SYSTM | active,review_frequency,already_resolved,Software Quality,testing,high,yes,"Now maps to existing Skill/SkillAlias after Phase 15B; mark candidate resolved, do not add duplicate."
607,UDP,udp,7,pending,job,,1056,Ingénieur en Cybersécurité - Systèmes Embarqués (H/F) | NBTECH TOULOUSE | active,review_frequency,already_resolved,UDP,other,high,yes,"Now maps to existing Skill/SkillAlias after Phase 15B; mark candidate resolved, do not add duplicate."
481,Analyse des causes racines,analyse des causes racines,6,pending,job,,666,"DCEO Engineer, Data Center Engineering Operations H/F | AMAZON DATA SERVICES FRANCE SAS | active",review_frequency,already_resolved,Root Cause Analysis,methodology,high,yes,"Now maps to existing Skill/SkillAlias after Phase 15B; mark candidate resolved, do not add duplicate."
194,Architecture de sécurité,architecture de securite,6,pending,job,,45,Expert/Experte cybersécurité des projets (H/F) |  | active,review_frequency,already_resolved,Cybersecurity,security,high,yes,"Now maps to existing Skill/SkillAlias after Phase 15B; mark candidate resolved, do not add duplicate."
178,ArgoCD,argocd,6,pending,job,,42,Ingénieur Middleware DevOps | ITS GROUP | active,review_frequency,already_resolved,Argo CD,devops,high,yes,"Now maps to existing Skill/SkillAlias after Phase 15B; mark candidate resolved, do not add duplicate."
262,CICS,cics,6,pending,job,,99,Développeur COBOL - Mainframe H/F (H/F) | INFORMATIS TECHNOLOGY SYSTM | active,review_frequency,already_resolved,CICS,tools,high,yes,"Now maps to existing Skill/SkillAlias after Phase 15B; mark candidate resolved, do not add duplicate."
461,CMMS,cmms,6,pending,job,,665,"DCEO Chief Engineer, Data Center Engineering Operations H/F | AMAZON DATA SERVICES FRANCE SAS | active",review_frequency,already_resolved,CMMS,tools,high,yes,"Now maps to existing Skill/SkillAlias after Phase 15B; mark candidate resolved, do not add duplicate."
255,COBOL,cobol,6,pending,job,,99,Développeur COBOL - Mainframe H/F (H/F) | INFORMATIS TECHNOLOGY SYSTM | active,review_frequency,already_resolved,COBOL,programming_language,high,yes,"Now maps to existing Skill/SkillAlias after Phase 15B; mark candidate resolved, do not add duplicate."
302,Code review,code review,6,pending,job,,108,Fullstack Developer Confirmé/Senior (Backend oriented) (H/F) | THE NAVIGATION FAMILY | active,review_frequency,already_resolved,Code Review,methodology,high,yes,"Now maps to existing Skill/SkillAlias after Phase 15B; mark candidate resolved, do not add duplicate."
197,Cryptographie,cryptographie,6,pending,job,,45,Expert/Experte cybersécurité des projets (H/F) |  | active,review_frequency,already_resolved,Cryptography,security,high,yes,"Now maps to existing Skill/SkillAlias after Phase 15B; mark candidate resolved, do not add duplicate."
454,Data Center Operations,data center operations,6,pending,job,,665,"DCEO Chief Engineer, Data Center Engineering Operations H/F | AMAZON DATA SERVICES FRANCE SAS | active",review_high_value,already_resolved,Data Center Operations,devops,high,yes,"Now maps to existing Skill/SkillAlias after Phase 15B; mark candidate resolved, do not add duplicate."
482,Data Engineering,data engineering,6,pending,job,,667,Data Engineer - AWS & Scala (H/F) | HIVEDEVS | active,review_high_value,already_resolved,Data Engineering,data_ai,high,yes,"Now maps to existing Skill/SkillAlias after Phase 15B; mark candidate resolved, do not add duplicate."
358,Debugging,debugging,6,pending,job,,149,Ingénieur Logiciel Embarqué Linux (H/F) | ALTEN SYSTEMES D'INFORMATION ET RESEAUX | active,review_frequency,already_resolved,Debugging,tools,high,yes,"Now maps to existing Skill/SkillAlias after Phase 15B; mark candidate resolved, do not add duplicate."
479,Diagnostic,diagnostic,6,pending,job,,666,"DCEO Engineer, Data Center Engineering Operations H/F | AMAZON DATA SERVICES FRANCE SAS | active",review_frequency,already_resolved,Diagnostic,tools,high,yes,"Now maps to existing Skill/SkillAlias after Phase 15B; mark candidate resolved, do not add duplicate."
180,Dynatrace,dynatrace,6,pending,job,,42,Ingénieur Middleware DevOps | ITS GROUP | active,review_frequency,already_resolved,Dynatrace,devops,high,yes,"Now maps to existing Skill/SkillAlias after Phase 15B; mark candidate resolved, do not add duplicate."
480,Dépannage,depannage,6,pending,job,,666,"DCEO Engineer, Data Center Engineering Operations H/F | AMAZON DATA SERVICES FRANCE SAS | active",review_frequency,already_resolved,Troubleshooting,tools,high,yes,"Now maps to existing Skill/SkillAlias after Phase 15B; mark candidate resolved, do not add duplicate."
348,EN 50128,en 50128,6,pending,job,,146,Ingénieur Tests logiciel (H/F) | COMPAGNIE DES SIGNAUX | active,review_frequency,already_resolved,EN 50128,testing,high,yes,"Now maps to existing Skill/SkillAlias after Phase 15B; mark candidate resolved, do not add duplicate."
347,ERTMS,ertms,6,pending,job,,146,Ingénieur Tests logiciel (H/F) | COMPAGNIE DES SIGNAUX | active,review_frequency,already_resolved,ERTMS,testing,high,yes,"Now maps to existing Skill/SkillAlias after Phase 15B; mark candidate resolved, do not add duplicate."
142,ETL,etl,6,pending,job,,32,Data Engineer (H/F) | CIRIL GROUP | active,review_high_value,already_resolved,ETL,data_ai,high,yes,"Now maps to existing Skill/SkillAlias after Phase 15B; mark candidate resolved, do not add duplicate."
190,Fondamentaux de sécurité,fondamentaux de securite,6,pending,job,,45,Expert/Experte cybersécurité des projets (H/F) |  | active,review_frequency,already_resolved,Cybersecurity,security,high,yes,"Now maps to existing Skill/SkillAlias after Phase 15B; mark candidate resolved, do not add duplicate."
191,Frameworks de sécurité,frameworks de securite,6,pending,job,,45,Expert/Experte cybersécurité des projets (H/F) |  | active,review_frequency,already_resolved,Cybersecurity,security,high,yes,"Now maps to existing Skill/SkillAlias after Phase 15B; mark candidate resolved, do not add duplicate."
668,GLPI,glpi,6,pending,job,,1075,Technicien informatique (H/F) en alternance | LABORATOIRE NOVELAB AMBERIEU EN BUGEY | active,review_frequency,already_resolved,GLPI,tools,high,yes,"Now maps to existing Skill/SkillAlias after Phase 15B; mark candidate resolved, do not add duplicate."
179,Helm,helm,6,pending,job,,42,Ingénieur Middleware DevOps | ITS GROUP | active,review_frequency,already_resolved,Helm,devops,high,yes,"Now maps to existing Skill/SkillAlias after Phase 15B; mark candidate resolved, do not add duplicate."
260,IBM Mainframe,ibm mainframe,6,pending,job,,99,Développeur COBOL - Mainframe H/F (H/F) | INFORMATIS TECHNOLOGY SYSTM | active,review_frequency,already_resolved,IBM Mainframe,tools,high,yes,"Now maps to existing Skill/SkillAlias after Phase 15B; mark candidate resolved, do not add duplicate."
154,Infrastructure as Code,infrastructure as code,6,pending,job,,38,Ingénieur DevOps Cloud (H/F) | KINGFISHER INFORMATION TECHNOLOGY SERVIC | active,review_frequency,already_resolved,Infrastructure as Code,devops,high,yes,"Now maps to existing Skill/SkillAlias after Phase 15B; mark candidate resolved, do not add duplicate."
261,JCL,jcl,6,pending,job,,99,Développeur COBOL - Mainframe H/F (H/F) | INFORMATIS TECHNOLOGY SYSTM | active,review_frequency,already_resolved,JCL,programming_language,high,yes,"Now maps to existing Skill/SkillAlias after Phase 15B; mark candidate resolved, do not add duplicate."
637,LAN,lan,6,pending,job,,1072,Alternant - Technicien informatique (H/F) | COMMUNAUTE DE COMMUNES DE LA PLAINE DIJO | active,review_frequency,already_resolved,LAN,security,high,yes,"Now maps to existing Skill/SkillAlias after Phase 15B; mark candidate resolved, do not add duplicate."
263,Linux embarqué,linux embarque,6,pending,job,,100,Ingénieur Développement Logiciel Embarqué Temps Réel (H/F) | CARE TECHNOLOGY CONSULTING | active,review_high_value,already_resolved,Embedded Linux,other,high,yes,"Now maps to existing Skill/SkillAlias after Phase 15B; mark candidate resolved, do not add duplicate."
256,Mainframe,mainframe,6,pending,job,,99,Développeur COBOL - Mainframe H/F (H/F) | INFORMATIS TECHNOLOGY SYSTM | active,review_frequency,already_resolved,Mainframe,tools,high,yes,"Now maps to existing Skill/SkillAlias after Phase 15B; mark candidate resolved, do not add duplicate."
463,Maintenance corrective,maintenance corrective,6,pending,job,,666,"DCEO Engineer, Data Center Engineering Operations H/F | AMAZON DATA SERVICES FRANCE SAS | active",review_frequency,already_resolved,Corrective Maintenance,tools,high,yes,"Now maps to existing Skill/SkillAlias after Phase 15B; mark candidate resolved, do not add duplicate."
462,Maintenance préventive,maintenance preventive,6,pending,job,,666,"DCEO Engineer, Data Center Engineering Operations H/F | AMAZON DATA SERVICES FRANCE SAS | active",review_frequency,already_resolved,Preventive Maintenance,tools,high,yes,"Now maps to existing Skill/SkillAlias after Phase 15B; mark candidate resolved, do not add duplicate."
621,Object-Oriented Programming,object oriented programming,6,pending,job,,1066,Developpeur informatique spécialisé en finance (H/F) | LUNALOGIC | active,review_frequency,already_resolved,Object-Oriented Programming,programming_language,high,yes,"Now maps to existing Skill/SkillAlias after Phase 15B; mark candidate resolved, do not add duplicate."
720,Office 365,office 365,6,pending,job,,1086,Apprenti(e) Technicien(ne) Informatique (H/F) | GROUPE GAZECHIM SERVICES | active,review_frequency,already_resolved,Office 365,tools,high,yes,"Now maps to existing Skill/SkillAlias after Phase 15B; mark candidate resolved, do not add duplicate."
496,PySpark,pyspark,6,pending,job,,672,Data Engineer Gbs (H/F) | SOCIETE GESER BEST | active,review_frequency,already_resolved,PySpark,data_ai,high,yes,"Now maps to existing Skill/SkillAlias after Phase 15B; mark candidate resolved, do not add duplicate."
282,RTOS,rtos,6,pending,job,,102,Ingénieur Développeur Sénior Logiciel Embarqué (H/F) | WIKA INSTRUMENTS SARL | active,review_frequency,already_resolved,RTOS,other,high,yes,"Now maps to existing Skill/SkillAlias after Phase 15B; mark candidate resolved, do not add duplicate."
872,Requirements Analysis,requirements analysis,6,pending,job,,188,Développeur fullstack Java/Angular confirmé (H/F) | EXPERTEAM | active,review_frequency,already_resolved,Requirements Analysis,methodology,high,yes,"Now maps to existing Skill/SkillAlias after Phase 15B; mark candidate resolved, do not add duplicate."
457,Root Cause Analysis (RCA),root cause analysis rca,6,pending,job,,665,"DCEO Chief Engineer, Data Center Engineering Operations H/F | AMAZON DATA SERVICES FRANCE SAS | active",review_frequency,already_resolved,Root Cause Analysis,methodology,high,yes,"Now maps to existing Skill/SkillAlias after Phase 15B; mark candidate resolved, do not add duplicate."
196,Réseau sécurisé,reseau securise,6,pending,job,,45,Expert/Experte cybersécurité des projets (H/F) |  | active,review_high_value,already_resolved,Network Security,security,high,yes,"Now maps to existing Skill/SkillAlias after Phase 15B; mark candidate resolved, do not add duplicate."
349,SIL4,sil4,6,pending,job,,146,Ingénieur Tests logiciel (H/F) | COMPAGNIE DES SIGNAUX | active,review_frequency,already_resolved,SIL4,testing,high,yes,"Now maps to existing Skill/SkillAlias after Phase 15B; mark candidate resolved, do not add duplicate."
458,SLA Management,sla management,6,pending,job,,665,"DCEO Chief Engineer, Data Center Engineering Operations H/F | AMAZON DATA SERVICES FRANCE SAS | active",review_frequency,already_resolved,SLA Management,methodology,high,yes,"Now maps to existing Skill/SkillAlias after Phase 15B; mark candidate resolved, do not add duplicate."
460,Safety Procedures,safety procedures,6,pending,job,,665,"DCEO Chief Engineer, Data Center Engineering Operations H/F | AMAZON DATA SERVICES FRANCE SAS | active",review_frequency,already_resolved,Safety Procedures,methodology,high,yes,"Now maps to existing Skill/SkillAlias after Phase 15B; mark candidate resolved, do not add duplicate."
459,Standard Operating Procedure (SOP) Development,standard operating procedure sop development,6,pending,job,,665,"DCEO Chief Engineer, Data Center Engineering Operations H/F | AMAZON DATA SERVICES FRANCE SAS | active",review_frequency,already_resolved,SOP Development,methodology,high,yes,"Now maps to existing Skill/SkillAlias after Phase 15B; mark candidate resolved, do not add duplicate."
202,Sécurité cloud,securite cloud,6,pending,job,,45,Expert/Experte cybersécurité des projets (H/F) |  | active,review_high_value,already_resolved,Cloud Security,security,high,yes,"Now maps to existing Skill/SkillAlias after Phase 15B; mark candidate resolved, do not add duplicate."
199,Sécurité des bases de données,securite des bases de donnees,6,pending,job,,45,Expert/Experte cybersécurité des projets (H/F) |  | active,review_frequency,already_resolved,Database Security,security,high,yes,"Now maps to existing Skill/SkillAlias after Phase 15B; mark candidate resolved, do not add duplicate."
201,Sécurité réseau,securite reseau,6,pending,job,,45,Expert/Experte cybersécurité des projets (H/F) |  | active,review_high_value,already_resolved,Network Security,security,high,yes,"Now maps to existing Skill/SkillAlias after Phase 15B; mark candidate resolved, do not add duplicate."
200,Sécurité système,securite systeme,6,pending,job,,45,Expert/Experte cybersécurité des projets (H/F) |  | active,review_frequency,already_resolved,Cybersecurity,security,high,yes,"Now maps to existing Skill/SkillAlias after Phase 15B; mark candidate resolved, do not add duplicate."
278,UML,uml,6,pending,job,,101,Ingénieur logiciel   (H/F) |  CIRIL GROUP | active,review_frequency,already_resolved,UML,methodology,high,yes,"Now maps to existing Skill/SkillAlias after Phase 15B; mark candidate resolved, do not add duplicate."
548,VPN,vpn,6,pending,job,,796,Ingénieur Systèmes - Automatisation & DevOps | TELESPAZIO FRENCH GUIANA | active,review_frequency,already_resolved,VPN,security,high,yes,"Now maps to existing Skill/SkillAlias after Phase 15B; mark candidate resolved, do not add duplicate."
265,Yocto Project,yocto project,6,pending,job,,100,Ingénieur Développement Logiciel Embarqué Temps Réel (H/F) | CARE TECHNOLOGY CONSULTING | active,review_frequency,already_resolved,Yocto Project,other,high,yes,"Now maps to existing Skill/SkillAlias after Phase 15B; mark candidate resolved, do not add duplicate."
